,Unit,Jenis_Alat,Type/Merk,Horse_Power,Capacity,Lokasi,Total_Pengisian_BBM,Total_Jam_Kerja,Benchmark,Fuel_Ratio,Status_BBM,Potensi_Pemborosan_BBM
24,CRANE LB 80T/LUCKY DOLPHIN,CRANE,SHORE CRANE,240,80 Ton,TUAL,1421,213,6.62,6.67,BOROS,10.37
23,CRANE LB 75/KANGGURU,CRANE,SHORE CRANE,240,75 Ton,KAIMANA,1585,241.0999999999999,6.62,6.57,EFISIEN,0
209,RG03,CRANE,RTG,268,41 Ton,DEPO YONIF,46428.46,7704,5.86,6.03,BOROS,1256.87
208,RG02,CRANE,RTG,268,41 Ton,DEPO YONIF,46414.63,7916,5.86,5.86,EFISIEN,0
207,RG01,CRANE,RTG,268,41 Ton,DEPO YONIF,45242.37,7816,5.86,5.79,EFISIEN,0
202,PRENJAK,FORKLIFT,KOMATSU,140,3 Ton,TARAKAN,12945,734,10.09,17.64,BOROS,5536.4
188,MAGNETO,FORKLIFT,FL KONE,255,32 Ton,DEPO MERAK,24040.87,2042,11.03,11.77,BOROS,1512.45
203,RAFLESIA,FORKLIFT,FL KALMAR,280,28 Ton,TUAL,6129,524,6.5,11.7,BOROS,2721.06
236,WARLOCK,FORKLIFT,FL KALMAR,280,28 Ton,TERNATE,9700,835.6000000000004,6.5,11.61,BOROS,4265.5
29,GAJAH TUNGGAL,FORKLIFT,FL KALMAR,275,32 Ton,CABANG LUWUK,14035,1246.4999999999998,11.26,11.26,EFISIEN,0
239,XAVIER,FORKLIFT,FL KONE,255,32 Ton,DEPO MARUNI,6700,651,11.03,10.29,EFISIEN,0
41,KALMAR 13,FORKLIFT,FL KALMAR,238,32 Ton,JAYAPURA,2761,322.00000000000034,8.19,8.57,BOROS,123.82
215,SCORPION,FORKLIFT,FL KALMAR,280,32 Ton,KENDARI,4730,568,6.5,8.33,BOROS,1035.89
199,PENYU,FORKLIFT,KOMATSU,170,7 Ton,DEPO T.LANGON,7969.38,1209,5.48,6.59,BOROS,1349.94
32,GIANT,FORKLIFT,KOMATSU,120,7 Ton,DEPO T.LANGON,6364.47,1057,6.02,6.02,EFISIEN,0
201,PINUS,FORKLIFT,TOYOTA,85,6 Ton,DEPO T.LANGON,5630.86,955,3,5.9,BOROS,2761.13
26,ELANG,FORKLIFT,MITSUBISHI,85,7 Ton,DEPO T.LANGON,9075.77,1582,3,5.74,BOROS,4321.94
232,TULIB,FORKLIFT,KOMATSU,170,8 Ton,PONTIANAK,5098,925.7000000000003,5.48,5.51,BOROS,29.67
14,BANTENG 1,FORKLIFT,TOYOTA,170,10 Ton,DEPO T.LANGON,440.89,81,5.48,5.44,EFISIEN,0
206,RANGER,FORKLIFT,TCM,125,10 Ton,DEPO MARUNDA,9557.01,1830,3.09,5.22,BOROS,3897.62
27,FLAMINGO,FORKLIFT,HECHA,70,7 Ton,DEPO T.LANGON,5126.62,1094,3.87,4.69,BOROS,897.89
31,GATUT KACA,FORKLIFT,TOYOTA,85,5 Ton,BAU-BAU,2504,557,3,4.5,BOROS,830.24
35,JALAK,FORKLIFT,MITSUBISHI,85,4 Ton,DEPO T.LANGON,3604.58,878,3,4.11,BOROS,966.23
235,WALET,FORKLIFT,MITSUBISHI,85,4 Ton,SAMARINDA,4575,1129,3,4.05,BOROS,1182.41
231,TREMBESI,FORKLIFT,TOYOTA,70,5 Ton,TIMIKA,940.81,236,3.87,3.99,BOROS,28.58
21,CEMARA,FORKLIFT,TOYOTA,70,5 Ton,DEPO MANOKWARI,1590,399,3.87,3.98,BOROS,47.71
210,ROBIN,FORKLIFT,BOMAC,70,5 Ton,DEPO 4,4190.08,1084,3.87,3.87,EFISIEN,0
0,AKASIA,FORKLIFT,TOYOTA,70,6 Ton,DEPO MERAK,1349.22,367,3.87,3.68,EFISIEN,0
205,RANDU,FORKLIFT,TOYOTA,60,4 Ton,BANJARMASIN,2050,564,3.19,3.63,BOROS,251.17
192,MERAK,FORKLIFT,TCM,85,5 Ton,DEPO JAPFA,5288.07,1495,3,3.54,BOROS,795.67
197,PADI,FORKLIFT,TOYOTA,60,4 Ton,SAMARINDA,3775,1086,3.19,3.48,BOROS,311.29
30,GARUDA,FORKLIFT,TCM,85,5 Ton,DEPO JAPFA,6192.93,1799,3,3.44,BOROS,787.02
66,KALONG,FORKLIFT,TOYOTA,170,10 Ton,NABIRE,2910,853.4,5.48,3.41,EFISIEN,0
234,ULIN,FORKLIFT,DAEWO,110,5 Ton,BALIKPAPAN,1145,357,3.21,3.21,EFISIEN,0
70,KENARI,FORKLIFT,MITSUBISHI,85,4 Ton,DEPO T.LANGON,3722.86,1185,3,3.14,BOROS,161.99
1,ALPINE,FORKLIFT,HELI,125,7 Ton,DEPO PRIOK,6851.94,2208,3.09,3.1,BOROS,23.57
67,KAMBOJA,FORKLIFT,DAEWO,125,5 Ton,SERUI,715,231.20000000000002,3.09,3.09,EFISIEN,0
237,WERKUDORO,FORKLIFT,TOYOTA,60,4 Ton,DEPO JAPFA,4206.14,1449,3.19,2.9,EFISIEN,0
69,KASUARI,FORKLIFT,TCM,85,5 Ton,DEPO JAPFA,4620.75,1611,3,2.87,EFISIEN,0
193,MERPATI,FORKLIFT,MITSUBISHI,85,5 Ton,DEPO MARUNDA,993.87,355,3,2.8,EFISIEN,0
38,KAKATUA,FORKLIFT,MITSUBISHI,85,4 Ton,DEPO 4,3720.2,1353,3,2.75,EFISIEN,0
36,JATAYU,FORKLIFT,TCM,85,5 Ton,CABANG AMBON,2490,944.56,3,2.64,EFISIEN,0
75,KUDA PUTIH,FORKLIFT,TOYOTA,125,4 Ton,DEPO TELUK BAYUR,2771.12,1056,3.09,2.62,EFISIEN,0
238,WINDU,FORKLIFT,MITSUBISHI,85,7 Ton,DEPO MARUNDA,1455.2,555,3,2.62,EFISIEN,0
71,KOLIBRI,FORKLIFT,MITSUBISHI,85,4 Ton,DEPO PRIOK,3956.14,1519,3,2.6,EFISIEN,0
20,CAMAR,FORKLIFT,HECHA,70,5 Ton,SAMARINDA,3495,1350,3.87,2.59,EFISIEN,0
194,MURAI,FORKLIFT,KOMATSU,140,7 Ton,DEPO MM,1372.26,538,10.09,2.55,EFISIEN,0
216,SEMPATI,FORKLIFT,TCM,85,5 Ton,DEPO PRIOK,5560.24,2230,3,2.49,EFISIEN,0
217,SERUNI,FORKLIFT,TOYOTA,60,4 Ton,KETAPANG,1487.17,615,3.19,2.42,EFISIEN,0
15,BANTENG 2,FORKLIFT,MITSUBISHI,55,3 Ton,BKA,315,130.29999999999995,1.63,2.42,BOROS,102.96
2,ATOZ,FORKLIFT,TOYOTA,70,4 Ton,DEPO PRIOK,239.45,100,3.87,2.39,EFISIEN,0
34,HATORI,FORKLIFT,TCM,85,5 Ton,SAMARINDA,3810,1615,3,2.36,EFISIEN,0
17,BANTENG 4,FORKLIFT,MITSUBISHI,55,3 Ton,DEPO JAPFA,4064.79,1768,1.63,2.3,BOROS,1187.72
190,MATAHARI,FORKLIFT,MITSUBISHI,55,3 Ton,BALIKPAPAN,925,418,1.63,2.21,BOROS,244.79
22,CENDET,FORKLIFT,TCM,55,3 Ton,DEPO T.LANGON,208.06,105,1.63,1.98,BOROS,37.19
200,PERKUTUT,FORKLIFT,MITSUBISHI,55,3 Ton,DEPO TELUK BAYUR,3236.46,1688,1.63,1.92,BOROS,489.57
189,MANYAR,FORKLIFT,MITSUBISHI,55,3 Ton,JAKARTA,1078.15,589,1.63,1.83,BOROS,119.67
18,BENGKIRAI,FORKLIFT,KOMATSU,55,0,TIMIKA,861.17,470,1.63,1.83,BOROS,96.34
212,SAKURA,FORKLIFT,KOMATSU,125,5 Ton,BKA,462,255,3.09,1.81,EFISIEN,0
28,FORKLIF MITS/KENANGA,FORKLIFT,MITSUBISHI,55,3 Ton,DEPO JAPFA,748.56,460,1.63,1.63,EFISIEN,0
226,TERATAI,FORKLIFT,MITSUBISHI,55,0,DEPO 4,582,385.5,1.63,1.51,EFISIEN,0
76,KUTILANG,FORKLIFT,TOYOTA,55,3 Ton,JAYAPURA,902,600.0999999999995,1.63,1.5,EFISIEN,0
16,BANTENG 3,FORKLIFT,MITSUBISHI,55,3 Ton,BKA,698,473,1.63,1.48,EFISIEN,0
211,SADEWA,FORKLIFT,KOMATSU,55,0,DEPO T.LANGON,682.94,461,1.63,1.48,EFISIEN,0
68,KANTIL,FORKLIFT,KOMATSU,55,3 Ton,DEPO JAPFA,220.36,159,1.63,1.39,EFISIEN,0
19,BERNARD BEAR,FORKLIFT,TOYOTA,55,3 Ton,DEPO 4,750.74,558,1.63,1.35,EFISIEN,0
33,GLATIK,FORKLIFT,MITSUBISHI,55,3 Ton,DEPO PRIOK,504.25,401,1.63,1.26,EFISIEN,0
198,PALEM,FORKLIFT,MANITO,65,4 Ton,DEPO 4,123.41,183,0.67,0.67,EFISIEN,0
48,KALMAR 20,REACH STACKER,KALMAR DRF 450,422,45 Ton,DEPO MANOKWARI,20350,972,15.07,20.94,BOROS,5697.61
187,LINDE,REACH STACKER,LINDE 450,346,45 Ton,DEPO T.LANGON,60370.98,2963,14.66,20.37,BOROS,16933.8
51,KALMAR 23,REACH STACKER,KALMAR DRD 450,346,45 Ton,DEPO TELUK BAYUR,31173.93,1639,14.66,19.02,BOROS,7146.41
57,KALMAR 29,REACH STACKER,KALMAR DRF 450,422,45 Ton,DEPO PRIOK,39546.21,2247,15.07,17.6,BOROS,5673.86
60,KALMAR 32,REACH STACKER,KALMAR DRT 450,290,45 Ton,DEPO JAPFA,70818.65,4053,17.47,17.47,EFISIEN,0
55,KALMAR 27,REACH STACKER,KALMAR DRF 450,422,45 Ton,DEPO PRIOK,49834.24,2922,15.07,17.05,BOROS,5786.62
59,KALMAR 31,REACH STACKER,KALMAR DRT 450,346,45 Ton,DEPO TELUK BAYUR,59566,3561,14.66,16.73,BOROS,7362.22
46,KALMAR 18,REACH STACKER,KALMAR DC 410,346,42 Ton,DEPO T.LANGON,28635.56,1714,14.66,16.71,BOROS,3508.55
74,KONECRANES 3,REACH STACKER,KONE 450,346,45 Ton,DEPO JAPFA,55200.07,3372,14.66,16.37,BOROS,5767
73,KONECRANES 2,REACH STACKER,KONE 450,346,45 Ton,DEPO JAPFA,25428.94,1563,14.66,16.27,BOROS,2515.57
52,KALMAR 24,REACH STACKER,KALMAR DRF 450,422,45 Ton,NABIRE,17885,1132.2000000000007,15.07,15.8,BOROS,817.68
53,KALMAR 25,REACH STACKER,KALMAR DRF 450,422,45 Ton,BELAWAN,58801,3741,15.07,15.72,BOROS,2407.38
45,KALMAR 17,REACH STACKER,KALMAR DRF 450,422,45 Ton,BALIKPAPAN,7316,466,15.07,15.7,BOROS,291.29
40,KALMAR 12,REACH STACKER,KALMAR DRF 450,422,45 Ton,DEPO MARUNDA,43211.72,2860,15.07,15.11,BOROS,98.71
49,KALMAR 21,REACH STACKER,KALMAR DRF 450,422,45 Ton,DEPO JAPFA,64503.69,4279,15.07,15.07,EFISIEN,0
58,KALMAR 30,REACH STACKER,KALMAR DRF 450,422,45 Ton,DEPO MARUNDA,39003.12,2621,15.07,14.88,EFISIEN,0
65,KALMAR2/BISON,REACH STACKER,KALMAR DRD 420,346,42 Ton,DEPO TELUK BAYUR,42484.29,2898,14.66,14.66,EFISIEN,0
213,SANY KUPP,REACH STACKER,SANY 450,348,45 Ton,BAU-BAU,38926,2658,14.64,14.64,EFISIEN,0
