Date,Month,Unit,Metric,Value
01-01-2025,JAN,LINDE,HM,16280.0
01-01-2025,JAN,KALMAR 32,HM,21492.0
01-01-2025,JAN,KONECRANES,HM,4006.0
01-01-2025,JAN,SMV,HM,7528.0
01-01-2025,JAN,KALMAR 20,HM,2093.0
01-01-2025,JAN,KALMAR 21,HM,37236.0
01-01-2025,JAN,KALMAR11/KINGKONG 2,HM,16132.0
01-01-2025,JAN,KALMAR 28,HM,27082.0
01-01-2025,JAN,KALMAR 29,HM,29164.0
01-01-2025,JAN,KALMAR 30,HM,15271.0
01-01-2025,JAN,KALMAR 14,HM,14944.0
01-01-2025,JAN,KALMAR 17,HM,2151.0
01-01-2025,JAN,KALMAR 12,HM,3737.0
01-01-2025,JAN,KALMAR 15,HM,24250.0
01-01-2025,JAN,KALMAR 16,HM,3168.0
01-01-2025,JAN,KALMAR 24,HM,8928.8
01-01-2025,JAN,KALMAR 25,HM,28631.0
01-01-2025,JAN,KALMAR 27,HM,26743.0
01-01-2025,JAN,CRANE LB 75/KANGGURU,HM,3790.4
01-01-2025,JAN,CRANE LB 80T/LUCKY DOLPHIN,HM,5045.0
01-01-2025,JAN,GAJAH TUNGGAL,HM,7776.6
01-01-2025,JAN,KALMAR 13,HM,14021.3
01-01-2025,JAN,RAFLESIA,HM,23159.0
01-01-2025,JAN,SCORPION,HM,2972.0
01-01-2025,JAN,TOBATI (EX.FL KALMAR 32T),HM,13733.0
01-01-2025,JAN,WARLOCK,HM,9319.4
01-01-2025,JAN,SOKA,HM,1988.0
01-01-2025,JAN,KALMAR2/BISON,HM,7306.0
01-01-2025,JAN,KALAMR5/KINGKONG 1,HM,25925.2
01-01-2025,JAN,KALMAR 23,HM,22584.0
01-01-2025,JAN,KALMAR 4,HM,18901.0
01-01-2025,JAN,KALMAR 7,HM,536.0
01-01-2025,JAN,KALMAR 18,HM,70648.0
01-01-2025,JAN,KALMAR1/GAJAH,HM,14973.6
01-01-2025,JAN,RG01,HM,51925.0
